threshold,tp,fp,fn,tn,f2,recall,precision,flag_rate
0.613184077720791,82919,47493,542463,829934,0.15752448764029575,0.13258936138232313,0.6358233904855382,0.08677882551941066
0.6131476883528192,83007,47578,542375,829849,0.15768130015694615,0.132730075377929,0.6356549373970977,0.0868939432755593
0.6130825858988578,83136,47719,542246,829708,0.15791015213211756,0.1329363493033058,0.6353291811547133,0.08707360682561789
0.6130762998159016,83207,47780,542175,829647,0.15803708620843565,0.13304987991339692,0.6352309771198669,0.08716144233897986
0.6129078574921054,83238,47821,542144,829606,0.15809164141583926,0.13309944961639447,0.6351185344005371,0.0872093526189955
0.6128447715611177,83797,48136,541585,829291,0.15910051449404414,0.1339933032930273,0.6351481433758044,0.08779093018474071
0.6126963036556793,84587,48594,540795,828833,0.16052436910489926,0.13525653120812559,0.6351281338929727,0.08862137503834486
0.6124794879669557,84649,48625,540733,828802,0.16063635901293533,0.13535567061412065,0.6351501418131068,0.08868325915003171
0.6124008368438503,84694,48638,540688,828789,0.16071821652763335,0.13542762663460092,0.6352113521135211,0.08872185354226651
0.6122609455845257,84869,48842,540513,828585,0.1610271402328214,0.13570745560313535,0.6347196565727576,0.08897404793290431
0.6122430612124032,84957,48905,540425,828522,0.16118487206827073,0.13584816959874124,0.6346610688619623,0.08907452643682597
0.6122420360151157,85547,49356,539835,828071,0.16224016482889178,0.13679159297837162,0.6341371207460175,0.0897672292353852
0.6120747897689572,85612,49374,539770,828053,0.1623583261837411,0.1368955294523987,0.6342287348317603,0.08982245914151432
0.6118110477143769,85653,49393,539729,828034,0.16243238384357883,0.1369610893821696,0.6342505516638774,0.08986238437486067
0.611723023879642,85710,49422,539672,828005,0.16253517708009377,0.13705223367477798,0.6342687150341888,0.08991961054265711
0.6115745546343632,85870,49459,539512,827968,0.16282642555132873,0.1373080773031523,0.6345277065521803,0.09005069839214432
0.6114266354872377,86309,49665,539073,827762,0.16361883327481838,0.1380100482585044,0.6347463485666377,0.0904798946506176
0.6113415989354596,86355,49702,539027,827725,0.1637008854690939,0.13808360330166203,0.6346972224876338,0.09053512455674673
0.6110856903687207,86392,49724,538990,827703,0.16376736208525486,0.1381427671407236,0.6346939375238767,0.09057438436953731
