id_municipio,nome_municipio,sigla_uf,regiao,avaliacoes,municipios,risco_medio,risco_observado,risco_ponderado,observado_ponderado,soma_pesos,erro_risco_pp,meta_alfabetizacao,taxa_alfabetizacao_prevista_pct,gap_referencia_meta_2024_pp,gap_cenario_80pct_pp
2914000,Ipirá,BA,Nordeste,415,1,0.6440084123611514,0.655421686746988,0.6440084123611514,0.655421686746988,415.0,-1.1413274385836614,37.07,35.599158763884866,-1.4708412361151346,-44.400841236115134
2924405,Pilão Arcado,BA,Nordeste,391,1,0.6440084123611514,0.7749360613810742,0.6440084123611514,0.7749360613810742,391.0,-13.092764901992282,31.12,35.599158763884866,4.479158763884865,-44.400841236115134
2909901,Curaçá,BA,Nordeste,388,1,0.6440084123611514,0.770618556701031,0.6440084123611514,0.770618556701031,388.0,-12.66101443398796,36.77,35.599158763884866,-1.1708412361151375,-44.400841236115134
2906808,Cansanção,BA,Nordeste,332,1,0.6440084123611514,0.7680722891566265,0.6440084123611514,0.7680722891566265,332.0,-12.406387679547514,36.8,35.599158763884866,-1.2008412361151315,-44.400841236115134
2902104,Araci,BA,Nordeste,331,1,0.6440084123611514,0.7552870090634441,0.6440084123611514,0.7552870090634441,331.0,-11.12785967022928,27.37,35.599158763884866,8.229158763884865,-44.400841236115134
2926004,Remanso,BA,Nordeste,329,1,0.6440084123611514,0.6474164133738601,0.6440084123611514,0.6474164133738601,329.0,-0.34080010127087723,32.32,35.599158763884866,3.2791587638848654,-44.400841236115134
2919157,Lapão,BA,Nordeste,301,1,0.6440084123611514,0.7475083056478405,0.6440084123611514,0.7475083056478405,301.0,-10.349989328668919,32.3,35.599158763884866,3.2991587638848685,-44.400841236115134
2919801,Macaúbas,BA,Nordeste,273,1,0.6440084123611514,0.684981684981685,0.6440084123611514,0.684981684981685,273.0,-4.097327262053363,49.35,35.599158763884866,-13.750841236115136,-44.400841236115134
2931905,Tucano,BA,Nordeste,256,1,0.6440084123611514,0.64453125,0.6440084123611514,0.64453125,256.0,-0.05228376388486389,36.12,35.599158763884866,-0.5208412361151318,-44.400841236115134
2921500,Monte Santo,BA,Nordeste,251,1,0.6440084123611514,0.7250996015936255,0.6440084123611514,0.7250996015936255,251.0,-8.109118923247415,37.95,35.599158763884866,-2.350841236115137,-44.400841236115134
2917003,Itiúba,BA,Nordeste,247,1,0.6440084123611514,0.7894736842105263,0.6440084123611514,0.7894736842105263,247.0,-14.546527184937496,34.97,35.599158763884866,0.6291587638848668,-44.400841236115134
2927200,Ruy Barbosa,BA,Nordeste,247,1,0.6440084123611514,0.7206477732793523,0.6440084123611514,0.7206477732793523,247.0,-7.663936091820089,44.71,35.599158763884866,-9.110841236115135,-44.400841236115134
2922904,Nova Soure,BA,Nordeste,242,1,0.6440084123611514,0.6859504132231405,0.6440084123611514,0.6859504132231405,242.0,-4.194200086198919,29.32,35.599158763884866,6.279158763884865,-44.400841236115134
2923704,Paratinga,BA,Nordeste,233,1,0.6440084123611514,0.7553648068669528,0.6440084123611514,0.7553648068669528,233.0,-11.135639450580149,28.27,35.599158763884866,7.329158763884866,-44.400841236115134
2923100,Olindina,BA,Nordeste,202,1,0.6440084123611514,0.7871287128712872,0.6440084123611514,0.7871287128712872,202.0,-14.31203005101358,41.3,35.599158763884866,-5.7008412361151315,-44.400841236115134
2926400,Riacho de Santana,BA,Nordeste,198,1,0.6440084123611514,0.47474747474747475,0.6440084123611514,0.47474747474747475,198.0,16.92609376136766,48.17,35.599158763884866,-12.570841236115136,-44.400841236115134
2905909,Campo Alegre de Lourdes,BA,Nordeste,189,1,0.6440084123611514,0.7195767195767195,0.6440084123611514,0.7195767195767195,189.0,-7.556830721556818,43.29,35.599158763884866,-7.6908412361151335,-44.400841236115134
2925006,Planalto,BA,Nordeste,181,1,0.6440084123611514,0.7569060773480663,0.6440084123611514,0.7569060773480663,181.0,-11.289766498691488,46.35,35.599158763884866,-10.750841236115136,-44.400841236115134
2922300,Muritiba,BA,Nordeste,174,1,0.6440084123611514,0.4827586206896552,0.6440084123611514,0.4827586206896552,174.0,16.12497916714962,30.55,35.599158763884866,5.049158763884865,-44.400841236115134
2907806,Cícero Dantas,BA,Nordeste,156,1,0.6440084123611514,0.6346153846153846,0.6440084123611514,0.6346153846153846,156.0,0.939302774576678,37.98,35.599158763884866,-2.380841236115131,-44.400841236115134
2925907,Quijingue,BA,Nordeste,132,1,0.6440084123611514,0.6515151515151515,0.6440084123611514,0.6515151515151515,132.0,-0.750673915400013,44.9,35.599158763884866,-9.300841236115133,-44.400841236115134
2913507,Iguaí,BA,Nordeste,108,1,0.6440084123611514,0.6851851851851852,0.6440084123611514,0.6851851851851852,108.0,-4.1176772824033865,54.55,35.599158763884866,-18.95084123611513,-44.400841236115134
